SC001,SC002,SC003,SC004,SC005,SC006,SC007,SC008,SC009,SC010,SC011,SC012,SC013,SC014,SC015,SC016,SC017,SC018,SC019,SC020
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000001,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000006,TO_CO_TFTU000007,TO_CO_TFTU000005,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000004
TO_CO_TFTU000029,TO_CO_TFTU000053,TO_CO_TFTU000027,TO_CO_TFTU000032,TO_CO_TFTU000038,TO_CO_TFTU000059,TO_CO_TFTU000047,TO_CO_TFTU000033,TO_CO_TFTU000021,TO_CO_TFTU000039,TO_CO_TFTU000036,TO_CO_TFTU000035,TO_CO_TFTU000024,TO_CO_TFTU000026,TO_CO_TFTU000031,TO_CO_TFTU000056,TO_CO_TFTU000052,TO_CO_TFTU000028,TO_CO_TFTU000046,TO_CO_TFTU000034
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000001,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000006,TO_CO_TFTU000007,TO_CO_TFTU000005,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000004
TO_CO_TFTU000051,TO_CO_TFTU000056,TO_CO_TFTU000024,TO_CO_TFTU000032,TO_CO_TFTU000038,TO_CO_TFTU000053,TO_CO_TFTU000039,TO_CO_TFTU000033,TO_CO_TFTU000025,TO_CO_TFTU000035,TO_CO_TFTU000036,TO_CO_TFTU000027,TO_CO_TFTU000034,TO_CO_TFTU000026,TO_CO_TFTU000031,TO_CO_TFTU000059,TO_CO_TFTU000029,TO_CO_TFTU000028,TO_CO_TFTU000052,TO_CO_TFTU000046
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000001,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000006,TO_CO_TFTU000007,TO_CO_TFTU000005,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000004
TO_CO_TFTU000033,TO_CO_TFTU000037,TO_CO_TFTU000047,TO_CO_TFTU000032,TO_CO_TFTU000026,TO_CO_TFTU000056,TO_CO_TFTU000036,TO_CO_TFTU000063,TO_CO_TFTU000069,TO_CO_TFTU000027,TO_CO_TFTU000052,TO_CO_TFTU000024,TO_CO_TFTU000034,TO_CO_TFTU000038,TO_CO_TFTU000051,TO_CO_TFTU000068,TO_CO_TFTU000066,TO_CO_TFTU000067,TO_CO_TFTU000029,TO_CO_TFTU000045
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000001,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000006,TO_CO_TFTU000007,TO_CO_TFTU000005,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000004
TO_CO_TFTU000035,TO_CO_TFTU000066,TO_CO_TFTU000045,TO_CO_TFTU000034,TO_CO_TFTU000038,TO_CO_TFTU000064,TO_CO_TFTU000036,TO_CO_TFTU000033,TO_CO_TFTU000070,TO_CO_TFTU000027,TO_CO_TFTU000051,TO_CO_TFTU000047,TO_CO_TFTU000032,TO_CO_TFTU000026,TO_CO_TFTU000052,TO_CO_TFTU000063,TO_CO_TFTU000024,TO_CO_TFTU000065,TO_CO_TFTU000029,TO_CO_TFTU000046
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000001,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000006,TO_CO_TFTU000007,TO_CO_TFTU000005,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000004
TO_CO_TFTU000035,TO_CO_TFTU000068,TO_CO_TFTU000045,TO_CO_TFTU000032,TO_CO_TFTU000027,TO_CO_TFTU000056,TO_CO_TFTU000033,TO_CO_TFTU000043,TO_CO_TFTU000065,TO_CO_TFTU000039,TO_CO_TFTU000059,TO_CO_TFTU000047,TO_CO_TFTU000026,TO_CO_TFTU000038,TO_CO_TFTU000052,TO_CO_TFTU000063,TO_CO_TFTU000024,TO_CO_TFTU000066,TO_CO_TFTU000029,TO_CO_TFTU000034
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000001,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000006,TO_CO_TFTU000007,TO_CO_TFTU000005,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000004
TO_CO_TFTU000033,TO_CO_TFTU000066,TO_CO_TFTU000026,TO_CO_TFTU000032,TO_CO_TFTU000027,TO_CO_TFTU000053,TO_CO_TFTU000068,TO_CO_TFTU000056,TO_CO_TFTU000065,TO_CO_TFTU000035,TO_CO_TFTU000036,TO_CO_TFTU000045,TO_CO_TFTU000024,TO_CO_TFTU000038,TO_CO_TFTU000051,TO_CO_TFTU000052,TO_CO_TFTU000047,TO_CO_TFTU000067,TO_CO_TFTU000029,TO_CO_TFTU000034
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000001,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000006,TO_CO_TFTU000007,TO_CO_TFTU000005,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000004
TO_CO_TFTU000043,TO_CO_TFTU000065,TO_CO_TFTU000027,TO_CO_TFTU000024,TO_CO_TFTU000059,TO_CO_TFTU000064,TO_CO_TFTU000063,TO_CO_TFTU000069,TO_CO_TFTU000068,TO_CO_TFTU000046,TO_CO_TFTU000039,TO_CO_TFTU000032,TO_CO_TFTU000026,TO_CO_TFTU000038,TO_CO_TFTU000051,TO_CO_TFTU000029,TO_CO_TFTU000047,TO_CO_TFTU000033,TO_CO_TFTU000052,TO_CO_TFTU000034
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000001,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000006,TO_CO_TFTU000007,TO_CO_TFTU000005,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000004
TO_CO_TFTU000067,TO_CO_TFTU000069,TO_CO_TFTU000024,TO_CO_TFTU000046,TO_CO_TFTU000059,TO_CO_TFTU000066,TO_CO_TFTU000063,TO_CO_TFTU000043,TO_CO_TFTU000068,TO_CO_TFTU000047,TO_CO_TFTU000035,TO_CO_TFTU000032,TO_CO_TFTU000026,TO_CO_TFTU000038,TO_CO_TFTU000027,TO_CO_TFTU000033,TO_CO_TFTU000029,TO_CO_TFTU000031,TO_CO_TFTU000052,TO_CO_TFTU000034
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000001,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000006,TO_CO_TFTU000007,TO_CO_TFTU000005,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000004
TO_CO_TFTU000035,TO_CO_TFTU000071,TO_CO_TFTU000047,TO_CO_TFTU000032,TO_CO_TFTU000053,TO_CO_TFTU000056,TO_CO_TFTU000066,TO_CO_TFTU000033,TO_CO_TFTU000051,TO_CO_TFTU000024,TO_CO_TFTU000072,TO_CO_TFTU000026,TO_CO_TFTU000046,TO_CO_TFTU000038,TO_CO_TFTU000063,TO_CO_TFTU000052,TO_CO_TFTU000045,TO_CO_TFTU000068,TO_CO_TFTU000029,TO_CO_TFTU000034
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000001,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000006,TO_CO_TFTU000007,TO_CO_TFTU000005,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000004
TO_CO_TFTU000075,TO_CO_TFTU000072,TO_CO_TFTU000052,TO_CO_TFTU000032,TO_CO_TFTU000053,TO_CO_TFTU000069,TO_CO_TFTU000033,TO_CO_TFTU000051,TO_CO_TFTU000029,TO_CO_TFTU000027,TO_CO_TFTU000026,TO_CO_TFTU000024,TO_CO_TFTU000046,TO_CO_TFTU000038,TO_CO_TFTU000063,TO_CO_TFTU000068,TO_CO_TFTU000045,TO_CO_TFTU000059,TO_CO_TFTU000047,TO_CO_TFTU000034
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000001,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000006,TO_CO_TFTU000007,TO_CO_TFTU000005,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000004
TO_CO_TFTU000043,TO_CO_TFTU000066,TO_CO_TFTU000051,TO_CO_TFTU000045,TO_CO_TFTU000053,TO_CO_TFTU000065,TO_CO_TFTU000067,TO_CO_TFTU000033,TO_CO_TFTU000063,TO_CO_TFTU000047,TO_CO_TFTU000026,TO_CO_TFTU000032,TO_CO_TFTU000024,TO_CO_TFTU000038,TO_CO_TFTU000027,TO_CO_TFTU000056,TO_CO_TFTU000029,TO_CO_TFTU000035,TO_CO_TFTU000052,TO_CO_TFTU000046
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000001,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000006,TO_CO_TFTU000007,TO_CO_TFTU000005,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000004
TO_CO_TFTU000072,TO_CO_TFTU000071,TO_CO_TFTU000059,TO_CO_TFTU000047,TO_CO_TFTU000027,TO_CO_TFTU000064,TO_CO_TFTU000052,TO_CO_TFTU000056,TO_CO_TFTU000033,TO_CO_TFTU000046,TO_CO_TFTU000024,TO_CO_TFTU000026,TO_CO_TFTU000032,TO_CO_TFTU000038,TO_CO_TFTU000045,TO_CO_TFTU000031,TO_CO_TFTU000051,TO_CO_TFTU000066,TO_CO_TFTU000029,TO_CO_TFTU000034
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000001,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000006,TO_CO_TFTU000007,TO_CO_TFTU000005,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000004
TO_CO_TFTU000069,TO_CO_TFTU000075,TO_CO_TFTU000045,TO_CO_TFTU000047,TO_CO_TFTU000026,TO_CO_TFTU000073,TO_CO_TFTU000052,TO_CO_TFTU000068,TO_CO_TFTU000033,TO_CO_TFTU000053,TO_CO_TFTU000051,TO_CO_TFTU000024,TO_CO_TFTU000046,TO_CO_TFTU000038,TO_CO_TFTU000032,TO_CO_TFTU000063,TO_CO_TFTU000029,TO_CO_TFTU000035,TO_CO_TFTU000027,TO_CO_TFTU000034
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000001,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000006,TO_CO_TFTU000068,TO_CO_TFTU000031,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000004
TO_CO_TFTU000043,TO_CO_TFTU000073,TO_CO_TFTU000032,TO_CO_TFTU000047,TO_CO_TFTU000027,TO_CO_TFTU000068,TO_CO_TFTU000056,TO_CO_TFTU000063,TO_CO_TFTU000066,TO_CO_TFTU000052,TO_CO_TFTU000045,TO_CO_TFTU000026,TO_CO_TFTU000046,TO_CO_TFTU000038,TO_CO_TFTU000024,TO_CO_TFTU000033,TO_CO_TFTU000029,TO_CO_TFTU000036,TO_CO_TFTU000051,TO_CO_TFTU000034
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000001,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000006,TO_CO_TFTU000051,TO_CO_TFTU000035,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000004
TO_CO_TFTU000033,TO_CO_TFTU000073,TO_CO_TFTU000045,TO_CO_TFTU000047,TO_CO_TFTU000026,TO_CO_TFTU000072,TO_CO_TFTU000032,TO_CO_TFTU000056,TO_CO_TFTU000063,TO_CO_TFTU000052,TO_CO_TFTU000051,TO_CO_TFTU000024,TO_CO_TFTU000046,TO_CO_TFTU000038,TO_CO_TFTU000027,TO_CO_TFTU000066,TO_CO_TFTU000029,TO_CO_TFTU000067,TO_CO_TFTU000059,TO_CO_TFTU000034
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000036,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000031,TO_CO_TFTU000051,TO_CO_TFTU000039,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000004
TO_CO_TFTU000043,TO_CO_TFTU000073,TO_CO_TFTU000032,TO_CO_TFTU000047,TO_CO_TFTU000026,TO_CO_TFTU000066,TO_CO_TFTU000045,TO_CO_TFTU000056,TO_CO_TFTU000067,TO_CO_TFTU000053,TO_CO_TFTU000052,TO_CO_TFTU000024,TO_CO_TFTU000046,TO_CO_TFTU000038,TO_CO_TFTU000027,TO_CO_TFTU000033,TO_CO_TFTU000059,TO_CO_TFTU000069,TO_CO_TFTU000029,TO_CO_TFTU000034
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000036,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000031,TO_CO_TFTU000059,TO_CO_TFTU000035,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000004
TO_CO_TFTU000033,TO_CO_TFTU000057,TO_CO_TFTU000032,TO_CO_TFTU000047,TO_CO_TFTU000026,TO_CO_TFTU000069,TO_CO_TFTU000029,TO_CO_TFTU000056,TO_CO_TFTU000066,TO_CO_TFTU000053,TO_CO_TFTU000052,TO_CO_TFTU000024,TO_CO_TFTU000046,TO_CO_TFTU000038,TO_CO_TFTU000027,TO_CO_TFTU000067,TO_CO_TFTU000045,TO_CO_TFTU000063,TO_CO_TFTU000059,TO_CO_TFTU000034
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000027,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000025,TO_CO_TFTU000069,TO_CO_TFTU000031,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000016,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000067
TO_CO_TFTU000036,TO_CO_TFTU000075,TO_CO_TFTU000032,TO_CO_TFTU000047,TO_CO_TFTU000026,TO_CO_TFTU000068,TO_CO_TFTU000045,TO_CO_TFTU000056,TO_CO_TFTU000069,TO_CO_TFTU000052,TO_CO_TFTU000051,TO_CO_TFTU000024,TO_CO_TFTU000046,TO_CO_TFTU000038,TO_CO_TFTU000053,TO_CO_TFTU000074,TO_CO_TFTU000029,TO_CO_TFTU000033,TO_CO_TFTU000066,TO_CO_TFTU000034
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000036,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000008,TO_CO_TFTU000017,TO_CO_TFTU000035,TO_CO_TFTU000069,TO_CO_TFTU000037,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000074,TO_CO_TFTU000009,TO_CO_TFTU000002,TO_CO_TFTU000025
TO_CO_TFTU000051,TO_CO_TFTU000066,TO_CO_TFTU000045,TO_CO_TFTU000047,TO_CO_TFTU000053,TO_CO_TFTU000067,TO_CO_TFTU000052,TO_CO_TFTU000027,TO_CO_TFTU000033,TO_CO_TFTU000026,TO_CO_TFTU000059,TO_CO_TFTU000024,TO_CO_TFTU000046,TO_CO_TFTU000038,TO_CO_TFTU000032,TO_CO_TFTU000068,TO_CO_TFTU000029,TO_CO_TFTU000031,TO_CO_TFTU000056,TO_CO_TFTU000034
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000035,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000059,TO_CO_TFTU000017,TO_CO_TFTU000075,TO_CO_TFTU000067,TO_CO_TFTU000036,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000053,TO_CO_TFTU000009,TO_CO_TFTU000031,TO_CO_TFTU000039
TO_CO_TFTU000033,TO_CO_TFTU000067,TO_CO_TFTU000032,TO_CO_TFTU000047,TO_CO_TFTU000053,TO_CO_TFTU000027,TO_CO_TFTU000052,TO_CO_TFTU000063,TO_CO_TFTU000066,TO_CO_TFTU000026,TO_CO_TFTU000051,TO_CO_TFTU000024,TO_CO_TFTU000046,TO_CO_TFTU000038,TO_CO_TFTU000045,TO_CO_TFTU000071,TO_CO_TFTU000029,TO_CO_TFTU000025,TO_CO_TFTU000056,TO_CO_TFTU000034
TO_CO_TFTU000018,TO_CO_TFTU000023,TO_CO_TFTU000020,TO_CO_TFTU000036,TO_CO_TFTU000019,TO_CO_TFTU000010,TO_CO_TFTU000013,TO_CO_TFTU000011,TO_CO_TFTU000014,TO_CO_TFTU000070,TO_CO_TFTU000017,TO_CO_TFTU000031,TO_CO_TFTU000068,TO_CO_TFTU000025,TO_CO_TFTU000012,TO_CO_TFTU000003,TO_CO_TFTU000035,TO_CO_TFTU000009,TO_CO_TFTU000063,TO_CO_TFTU000071
